Flight date,Arrival date,Day of week,Origin,Destination,Aircraft fleet type,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Converted to Gallons,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator,Carbon
8/28/2021,8/29/2021,Saturday,HKG,ICN,B747-8F,122,122,204,217,214,184,180,19,26,27,1400,8,7,7,030300Z,15500,60,95800,96100,14415,94700,58900,55300,33300,39400,RKSS,None,14,4800,45,204400,100000,81400,615300,597100,0,0,0,30 MINS ADDTL FUEL FOR TS SOUTH OF HKG & ICN,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,57784,FALSE,null,25006KT 200V300 9999 SCT012 BKN100 23/20 Q1014 NOSIG,FALSE,
9/5/2021,9/5/2021,Sunday,HKG,ICN,B767-300W,95,95,213,216,205,190,182,16,19,15,200,8,7,8,203800Z,6800,46,55000,55600,8340,55400,38300,36600,15000,18800,0,None,0,0,0,92400,117000,116300,352400,351900,0,0,0,///ALERT/// UPS6043 // THIS FLIGHT IS FILED WITH ATC AS UPS43. UPS43 MUST BE USED FOR FMC LOADING (ADS-B FLIGHT ID); ATC CALL SIGN; AND POSITION REPORTING. UPS6043 IS A UPS INTERNAL DESIGNATION ONLY USED FOR ACARS AND COMPANY COMMUNICATIONS ONLY 20 MINS ADDTL FUEL FOR ATC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,38258,FALSE,null,05007KT CAVOK 20/15 Q1018 NOSIG,FALSE,
2/12/2022,2/12/2022,Saturday,HKG,ICN,B747-8F,105,105,189,201,187,168,156,20,26,18,2300,7,7,13,121800Z,12100,38,106100,106000,15900,103700,67000,62700,35500,41000,RKSS,None,20,7700,76,1,260000,256600,785600,782600,0,0,0,10 MINS ADDTL FUEL FOR ENRTE TURB CDL 27-11-1 HAS BEEN APPLIED,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,400,-400,66728,FALSE,null,29004KT 260V320 5000 BR NSC 00/M04 Q1024 NOSIG,FALSE,
2/21/2022,2/21/2022,Monday,HKG,ICN,MD11-GE,147,147,198,194,187,168,161,21,19,18,1400,8,7,8,190700Z,7500,28,97400,96800,14520,95400,54200,50400,40500,45000,RJBB,None,68,19500,558,1,175000,162000,528800,513800,0,0,1100,OPS LIMITING CDL: 49-17-13 OPS LIMITING CDL: 49-17-12 OPS LIMITING MEL: 27-66-1 FLT AT OR BLW FL420 EXTRA FUEL FOR EXPECTED TAXI DELAYS,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,500,-500,52900,FALSE,null,31011KT CAVOK M05/M16 Q1032 NOSIG,FALSE,
3/15/2022,3/15/2022,Tuesday,HKG,ICN,MD11-GE,153,153,198,211,199,185,169,21,19,18,600,8,7,12,111900Z,12500,47,103000,103000,15450,102400,58100,54200,42200,48200,RKPC,None,54,16000,338,134550,181000,180900,538900,539800,0,0,900,20 MIN ADDTL FUEL FOR ATC / DEST WX EXTRA FUEL FOR TAXI DELAYS CDL 49-17-12 CDL 49-17-13 CALLSIGN FOR FLIGHT IS UPS67A / FILED AS UPS67A CALLSIGN CHANGE IS DUE TO FLIGHT DELAYED FROM 3/14/22,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-500,58090,FALSE,null,32006KT CAVOK 04/02 Q1014 NOSIG,FALSE,
3/14/2022,3/14/2022,Monday,HKG,ICN,MD11-PW,123,123,198,209,199,183,172,21,19,18,1800,8,7,9,121000Z,11300,42,93800,93600,14040,91800,56700,52400,34400,39400,RKTN,None,33,9900,180,180000,182000,180900,533900,533000,0,0,0,- 15MIN ADDTL FUEL FOR ENROUTE/DESTINATION WX & ATC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,56590,TRUE,null,29010KT 8000 FEW025 05/03 Q1012 NOSIG,FALSE,
9/1/2021,9/2/2021,Wednesday,HKG,ICN,B767-300W,99,99,213,222,206,196,187,16,19,14,0,8,7,5,021300Z,3700,25,54000,54100,8115,54100,36300,37600,16000,16500,RKSS,None,18,3500,67,92400,117000,116700,350600,350600,0,0,900,THIS FLIGHT IS FILED WITH ATC AS UPS44. UPS44 MUST BE USED FOR FMC LOADING (ADS-B FLIGHT ID); ATC CALL SIGN; AND POSITION REPORTING. UPS6044 IS A UPS INTERNAL DESIGNATION ONLY USED FOR ACARS AND COMPANY COMMUNICATIONS ONLY. 15 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC EXTRA FUEL FOR HKG TAXI OUT CDL C57-41-2 APPLIED IN AERODATA,0,1318,9,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,36282,FALSE,null,04010KT 020V100 9999 SCT040 BKN080 25/19 Q1011 NOSIG,FALSE,
5/21/2022,5/22/2022,Saturday,HKG,ICN,B747-8F,172,172,204,216,200,183,178,19,26,17,800,8,7,5,141000Z,6100,27,100000,100000,15000,99200,53100,48900,43300,50300,RJBB,None,74,20600,533,1,1000,0,520600,520600,0,0,5100,EXTRA FUEL - LIGHT AIRCRAFT,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,300,-300,53040,FALSE,null,22004KT 6000 FEW005 SCT020 16/15 Q1009 NOSIG,FALSE,
2/8/2022,2/8/2022,Tuesday,HKG,ICN,B747-400F,124,124,195,191,183,165,158,17,19,17,2500,9,7,8,120500Z,18600,60,112300,112400,16860,109900,68400,63900,40800,46000,RKSS,None,13,5300,45,1,230000,228500,691400,686800,0,0,1700,ADDTL FUEL FOR ATC EXTRA FUEL FOR TAXI DELAYS,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,400,-400,68280,FALSE,null,31005KT CAVOK M02/M06 Q1028 NOSIG,FALSE,
3/22/2022,3/22/2022,Tuesday,HKG,ICN,MD11-GE,112,112,198,205,200,179,165,21,19,26,1000,8,7,9,104600Z,15600,60,88000,87600,13140,86600,56100,52800,29200,33800,0,None,0,0,0,134550,180000,178500,524400,523000,0,0,1100,30 MIN ADDTL FUEL FOR ATC / TRAFFIC DELAYS EXTRA FUEL FOR TAXI DELAYS CDL 49-17-12 CDL 49-17-13 FILED AS UPS67A / CALLSIGN IS UPS67A UPS6067 IS FOR INTERNAL COMPANY COMMUNICATION ONLY,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-500,55950,FALSE,null,29009KT CAVOK 05/00 Q1022 NOSIG,FALSE,
4/23/2022,4/24/2022,Saturday,HKG,ICN,B747-8F,227,227,204,219,203,186,179,19,26,19,1100,8,7,5,142700Z,7000,30,117000,116900,17535,115800,55700,50100,57700,65700,RCTP,None,127,33700,875,1,0,0,537300,538100,0,0,5200,EXTRA FUEL ADDED FOR WX AT DESTINATION,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,300,-300,55700,FALSE,null,14003KT 120V180 4000 BR BKN002 14/13 Q1012 NOSIG,TRUE,
6/4/2022,6/5/2022,Saturday,HKG,ICN,B747-8F,144,144,196,224,199,183,182,19,26,14,0,8,15,3,141700Z,10400,41,103600,103300,15495,103300,58900,52500,41100,51100,RKPC,None,55,17900,331,204400,75000,60100,598400,584000,0,0,0,15 MINS ADDTL FUEL FOR ENROUTE WX/DEST ATC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,58006,TRUE,null,07003KT 030V100 9999 BKN040 BKN120 21/14 Q1000 NOSIG,FALSE,
