Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Converted to Gallons,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator,Carbon
9/1/2021,9/1/2021,UPS0916,Wednesday,SDF,ONT,MD11-PW,N287UP,105,105,244,241,242,221,214,14,12,16,0,7,8,12,103400Z,9000,40,90300,90200,45100,90200,64000,56600,24600,32200,KLAX,None,17,4600,59,102000,112000,92100,460300,438600,0,0,500,10 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC EXTRA FUEL FOR EXPECTED TAXI DELAYS CDL 49-17-12 TAKEOFF AND LANDING ACCOUNTED IN AERODATA CDL 49-17-13(APU NOT OPERATING) TAKEOFF AND LANDING ACCOUNTED IN AERODATA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-500,62010,FALSE,null,null,FALSE,21.105
9/1/2021,9/1/2021,UPS0918,Wednesday,SDF,ONT,B767-300W,N302UP,120,120,244,256,253,234,224,12,14,19,0,7,8,10,120000Z,7500,55,58400,59000,29500,59000,39000,37500,18200,20800,KLAX,None,17,3000,59,89000,101000,67500,339700,307000,0,0,400,CDL 27-51-2 INBOARD FLAP TORQUE TUBE SLOT DOORS ADDTL FUEL FOR ENROUTE WEATHER EXTRA FUEL FOR TAXI DELAYS,0,1180,9,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,400,-400,36320,TRUE,null,null,FALSE,21.105
9/21/2021,9/21/2021,UPS0916,Tuesday,SDF,ONT,MD11-PW,N291UP,91,91,244,251,239,231,221,14,12,11,1200,7,8,7,103300Z,8700,40,85900,86200,43100,85000,64100,57200,20000,27800,0,None,0,0,0,104000,106000,95200,446700,436400,0,0,1300,10 MINS ADDT FUEL FOR DELAYS DUE TO TRAFFIC EXTRA FUEL - LIGHT AIRCRAFT CDL 49-17-12 TAKEOFF AND LANDING ACCOUNTED IN AERODATA CDL 49-17-13(APU NOT OPERATING) TAKEOFF AND LANDING ACCOUNTED IN AERODATA,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,500,-500,63020,FALSE,null,null,FALSE,21.105
8/29/2021,8/29/2021,UPS0900,Sunday,SDF,ONT,B747-8F,N613UP,90,90,237,243,247,211,217,14,24,17,0,10,8,13,220700Z,12400,45,102400,101700,50850,101700,72800,73500,26300,28100,0,None,0,0,0,148000,158000,156800,680300,679600,0,0,0,ADDTL FUEL FOR ARRIVAL DELAYS DUE TO ATC/TRAFFIC/LA BASIN ADDTL FUEL FOR ENRTE WX FCST ACROSS CNTL PLAINS/NM,0,772,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,72728,TRUE,null,null,FALSE,21.105
8/29/2021,8/30/2021,UPS0916,Sunday,SDF,ONT,B767-300W,N318UP,45,45,244,244,242,222,225,12,14,9,0,7,8,8,012900Z,0,0,44900,54400,27200,54400,37300,36700,6300,17900,0,None,0,0,0,82000,75000,33500,299400,267000,0,0,0,ADDTL FUEL FOR ARRIVAL DELAYS DUE TO ATC/TRAFFIC/LA BASIN ADDTL FUEL FOR ENRTE WX FCST ACROSS CNTL PLAINS/NM,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,300,-300,34810,TRUE,null,null,FALSE,21.105
8/29/2021,8/29/2021,UPS0920,Sunday,SDF,ONT,B747-400F,N573UP,90,90,237,243,238,211,221,14,24,8,0,10,8,9,231900Z,11600,45,103300,108100,54050,108100,74600,74700,24700,32600,0,None,0,0,0,125000,135000,133900,587100,593400,0,0,0,ADDTL FUEL FOR ENRTE WX FCST ACROSS CNTL PLAINS/NM ADDTL FUEL FOR ARRIVAL DELAYS DUE TO ATC/TRAFFIC/LA BASIN OPS LIMITING MEL:36-11-8-3 OPS LIMITING MEL:32-42-4-1-2-1 OPS LIMITING MEL:78-31-1-1,0,188,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,400,-400,74512,TRUE,null,null,FALSE,21.105
9/17/2021,9/17/2021,UPS2406,Friday,SDF,ONT,B767-300,N366UP,85,85,240,251,236,229,220,12,14,11,600,6,8,5,230200Z,5300,40,51200,51700,25850,51100,38000,39100,12000,12000,0,None,0,0,0,72000,72000,69400,301000,298800,0,0,0,ADDTL FOR ENROUTE TS.,0,1360,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,37740,TRUE,null,null,FALSE,21.105
10/26/2021,10/26/2021,UPS0916,Tuesday,SDF,ONT,B747-400F,N582UP,96,96,237,255,243,223,225,14,24,7,700,10,8,11,110900Z,7900,30,111100,110900,55450,110200,78600,77200,28500,33000,KLAX,None,17,6100,64,105000,140000,117300,600400,575000,0,0,1000,EXTRA FUEL FOR EXPECTED TAXI DELAYS MEL 34-21-1-2 CAT III(DEGRADED),0,416,2,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,400,-400,76784,FALSE,null,null,FALSE,21.105
10/26/2021,10/26/2021,UPS0918,Tuesday,SDF,ONT,B767-300W,N340UP,124,124,244,258,250,236,230,12,14,13,400,7,8,7,120400Z,4400,30,65600,65800,32900,65400,43600,42700,20800,22700,KLAS,None,43,8100,234,99000,110000,92900,356000,339100,0,0,900,05 MINS ADDTL FUEL FOR DEST TRAFFIC/ATC 10 MINS ADDTL FUEL FOR ENRTE ALT DEV DUE TO TURB OVER NM/AZ EXTRA FUEL FOR TAXI DELAYS,0,468,4,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,400,-400,42232,FALSE,null,null,FALSE,21.105
10/27/2021,10/27/2021,UPS0916,Wednesday,SDF,ONT,MD11-PW,N272UP,105,105,244,245,253,225,230,14,12,14,1200,7,8,9,104600Z,13200,60,84700,85200,42600,84000,59700,58000,23300,26000,0,None,0,0,0,106000,112000,108000,456300,452800,0,0,0,30 MINS ADDTL FUEL FOR ENROUTE WX - KS,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,600,-600,59220,TRUE,null,null,FALSE,21.105
10/27/2021,10/27/2021,UPS0918,Wednesday,SDF,ONT,B767-300W,N357UP,125,125,244,257,253,235,234,12,14,11,400,7,8,8,120500Z,11200,80,61100,61500,30750,61100,41700,41400,18200,19700,0,None,0,0,0,96000,100000,86000,342100,328300,0,0,0,05 MINS ADDTL FUEL FOR FUEL ANALYTICS 45 MINS ADDTL FUEL FOR ENRTE WX DEV OVER NE/ALT DEV DUE TO TURB,0,1100,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,40300,TRUE,null,null,FALSE,21.105
10/30/2021,10/30/2021,UPS0920,Saturday,SDF,ONT,B767-300W,N302UP,92,92,244,248,235,226,220,12,14,10,600,7,8,5,123700Z,5500,43,49100,49800,24900,49200,35500,34600,12300,14600,0,None,0,0,0,81000,84000,55300,313400,284800,0,0,500,OPS LIMITING CDL:27-51-2 AERODATA APPLIED ADDTL FUEL FOR DELAYS DUE TO ATC EXTRA FUEL FOR TAXI,0,1970,16,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,500,-500,32630,FALSE,null,null,FALSE,21.105
10/23/2021,10/23/2021,UPS0908,Saturday,SDF,ONT,B747-8F,N614UP,108,108,237,256,262,224,228,14,24,22,1400,10,8,12,120100Z,7700,30,101500,101600,50800,100200,68900,69400,29300,30800,KLAX,None,18,5800,62,90000,90000,81200,611400,603700,0,0,3800,EXTRA FUEL - LIGHT AIRCRAFT,0,1028,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,300,-300,68372,FALSE,null,null,FALSE,21.105
10/23/2021,10/23/2021,UPS0920,Saturday,SDF,ONT,B767-300W,N344UP,184,184,244,257,246,235,227,12,14,14,500,7,8,5,124100Z,16100,120,70300,70100,35050,69600,42800,39700,26200,29900,KLAX,None,19,3200,64,80000,82000,60900,333700,312500,0,0,0,MEL: 28-22-1 75MINS ADDTL - (10.0LBS) UNUSABLE PER MEL 10MINS ADDTL - ENRTE & DEST WX 5MINS ADDTL - KZLA TRAFFIC,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,400,-400,41112,TRUE,null,null,FALSE,21.105
