Flight date,Arrival date,Flight number,Day of week,Origin,Destination,Aircraft fleet type,Tail number,PAF,Adjusted PAF,Block time scheduled,Block time planned,Block time actual,Enroute time planned,Enroute time actual,Taxi out time scheduled,Taxi out time planned,Taxi out time actual,Taxi out actual (lbs),Taxi in time scheduled,Taxi in time planned,Taxi in time actual,Arrival time planned,Additional fuel (lbs),Additional fuel (mins),Total fuel planned,Total fuel actual,Take off fuel,Enroute fuel planned,Enroute fuel actual,Arrival fuel planned,Arrival fuel actual,Alternate planned,checAlternate actual,Alternate fuel (min),Alternate fuel (lbs),Alternate distance,Payload weight forecast,Payload weight planned,Payload weight actual,Takeoff weight planned,Takeoff weight actual,Contingency fuel (lbs),Contingency fuel (min),Extra fuel (lbs),Dispatcher remarks,Contingency fuel %,Additional Fuel Actual (lbs),Additional Fuel Actual (min),Extra fuel actual (lbs),Extra fuel reason taxi,Extra fuel reason previous fuel on board,Extra fuel reason delays,Extra fuel reason tankering,Extra fuel reason operational needs,Extra fuel other reason,Fuel impact of adding 5000,Fuel impact of reducing 5000,Payload expected en-route fuel,Enroute Weather Indicator,Turnover Notes,Metar Value,Low Visibility Indicator
2021-12-17,2021-12-17,UPS0076,Friday,SDF,DXB,B747-400F,N573UP,97,97,800,823,828,794,796,10,24,24,0,10,5,8,234000Z,7300,28,329400,329600,329600,297200,299900,28200,30600,OMSJ,None,12,4600,40,129000,135000,128200,813200,807000,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF AIOSA FOR REDISPATCH RAIM CHECK OK 5 MINS ADDTL FUEL FOR TURB OVER GANDER OCEANIC AIRSPACE 5 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC,0,4740,19,0,false,false,false,false,false,false,1500,-1500,295160,false,null,09006KT 050V130 CAVOK 21/15 Q1018 NOSIG,false
2021-10-29,2021-10-29,UPS0076,Friday,SDF,DXB,B747-8F,N621UP,124,124,815,827,801,798,777,24,24,18,1200,5,5,6,220000Z,5800,20,356100,356000,354800,312900,296800,40000,58000,OMDW,None,33,11500,148,166000,175000,152100,950700,928600,0,0,1400,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF BCN FOR REDISPATCH ADDTL FUEL FOR DELAYS DUE TO TRAFFIC/ATC RAIM CHECK: OK PERISHABLES - NIL,0,0,0,0,false,false,false,false,false,true,1300,-1300,306946,false,null,09005KT 020V130 CAVOK 27/08 Q1017 NOSIG,false
2021-11-25,2021-11-26,UPS0076,Thursday,SDF,DXB,B747-8F,N626UP,107,107,809,823,815,794,788,24,24,17,1000,5,5,10,003800Z,1500,5,334700,334900,333900,297400,285100,34000,48800,OMDW,None,33,11600,148,163000,180000,148200,934700,906900,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF SANDY FOR REDISPATCH RAIM CHECK OK,0,0,0,0,false,false,false,false,false,false,1400,-1300,289132,false,null,23003KT 190V250 CAVOK 22/17 Q1015 NOSIG,false
2021-11-20,2021-11-20,UPS0076,Saturday,SDF,DXB,B747-8F,N629UP,119,119,809,833,817,804,792,24,24,19,1600,5,5,6,235400Z,4300,15,337400,337100,335500,297100,286700,36900,48800,OMDW,None,32,11300,148,157000,170000,140400,927200,898400,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF NATEB FOR REDISPATCH 12 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC RAIM CHECK OK,0,0,0,0,false,false,false,false,false,false,1300,-1300,289404,false,null,09006KT 060V140 CAVOK 23/17 Q1012 NOSIG,false
2021-11-10,2021-11-10,UPS0076,Wednesday,SDF,DXB,B747-8F,N621UP,130,130,809,846,851,817,819,24,24,19,1500,5,5,13,235300Z,14200,50,356300,356500,355000,314000,294200,39000,60800,OMSJ,None,13,4800,40,168000,168000,134400,943900,911600,0,0,800,ADDTL FUEL FOR ATC / ENROUTE WX EXTRA FUEL FOR TAXI DELAYS RAIM CHECK OK CONTACT FLIGHT CONTROL 2 HOURS PRIOR TO WAYPOINT ALG FOR RE-DISPATCH,0,0,0,0,false,false,false,false,false,true,1300,-1300,305264,true,null,12003KT CAVOK 25/12 Q1013 NOSIG,false
2022-01-06,2022-01-06,UPS0076,Thursday,SDF,DXB,B747-400F,N577UP,105,105,800,806,794,777,769,10,24,11,0,10,5,14,230300Z,8200,30,335600,335400,335400,300200,284300,31500,52000,OMSJ,None,12,4800,40,130000,150000,111700,833500,799000,0,0,0,18 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC RAIM CHECK: OK .9% FUEL INCREASE FOR PERISHABLES PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF OLKIS FOR REDISPATCH,0,0,0,0,false,false,false,false,false,false,1500,-1500,288710,false,null,15003KT 090V180 CAVOK 17/07 Q1017 NOSIG,false
2022-02-09,2022-02-09,UPS0076,Wednesday,SDF,DXB,B747-8F,N614UP,186,186,809,812,803,783,771,24,24,23,1200,5,5,9,225600Z,24500,85,364300,364400,363200,302600,295900,58400,67300,OOMS,None,40,15100,238,160000,175000,158700,959200,944300,0,0,1100,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF PETAK FOR REDISPATCH. RAIM CHECK: OK 60 MINS ADDTL FUEL FOR ARRIVAL DELAYS DUE TO UAE ATC 5 MINS ADDTL FUEL FOR DELAYS DUE TO TRAFFIC EXTRA FUEL FOR EXPECTED TAXI DELAYS,0,0,0,0,true,false,true,false,false,false,1300,-1300,298362,false,null,08003KT 320V120 CAVOK 19/14 Q1017 NOSIG,false
2021-12-02,2021-12-02,UPS0076,Thursday,SDF,DXB,B747-8F,N613UP,128,128,809,814,816,785,778,24,24,31,2600,5,5,7,232200Z,8100,28,341300,341200,338600,298100,284700,39900,53900,OMDW,None,33,11600,148,163000,180000,143100,941200,904900,0,0,0,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF (BLV) FOR REDISPATCH 20 MIN ADDTL FUEL FOR WX OVER EUROPE RAIM CHECK OK,0,0,0,0,false,false,false,false,false,false,1300,-1300,288506,false,null,VRB02KT CAVOK 22/14 Q1015 NOSIG,false
2022-01-08,2022-01-09,UPS6076,Saturday,SDF,DXB,B747-8F,N628UP,186,123,846,795,801,766,765,24,24,30,2800,5,5,6,034500Z,0,0,310000,306400,303600,255200,248900,51500,54700,OMSJ,None,13,4500,40,204400,100000,92800,829600,824000,0,0,17700,///ALERT/// UPS6076// THIS FLIGHT IS FILED WITH ATC AS UPS76D. UPS76D MUST BE USED FOR FMC LOADING (ADS-B FLIGHT ID); ATC CALL SIGN; AND POSITION REPORTING. UPS6076 IS A UPS INTERNAL DESIGNATION ONLY USED FOR ACARS AND COMPANY COMMUNICATIONS ONLY. RAIM CHECK: OK XTRA FUEL IS FOB,0,0,0,0,false,true,false,false,false,true,1600,-1300,253328,false,null,13005KT 9999 BKN045 16/09 Q1019 NOSIG,false
2021-12-11,2021-12-12,UPS0076,Saturday,SDF,DXB,B747-8F,N608UP,138,138,809,802,814,773,774,24,24,26,1900,5,5,14,005400Z,9600,33,340200,340400,338500,294100,275100,42800,63400,OMDW,None,33,11600,148,151000,175000,117700,935800,879600,0,0,1400,PLEASE CONTACT FLT CTL WITHIN 2 HOURS OF (RESMI) FOR REDISPATCH RAIM CHECK OK 25 MIN ADDTL FUEL FOR WX OVER EASTERN US XTRA FUEL FOR POSSIBLE TAXI DELAYS,0,0,0,0,true,false,true,false,false,false,1300,-1300,279202,false,null,19004KT 9999 SCT040 20/14 Q1018 NOSIG,false
